"trackid","artistname","tracknumber","duration","artistid","tracktitle","releasetitle","releaseid"
216567,"Enya",3,220,4099,"Only Time (Original Version)","A Day Without Rain",20827
216582,"Madonna",3,282,6051,"Sorry","Confessions On A Dance Floor",20831
217267,"Marilyn Manson",2,260,827,"This Is The New Shit","The Golden Age Of Grotesque",20886
217372,"Bryan Adams",6,234,1428,"Run To You","Anthology",20891
217375,"Bryan Adams",9,216,1428,"Summer Of '69","Anthology",20891
220614,"Eminem",5,404,262,"Stan","Curtain Call",21281
220615,"Eminem",6,326,262,"Lose Yourself","Curtain Call",21281
220617,"Eminem",8,340,262,"Sing For The Moment","Curtain Call",21281
220620,"Eminem",11,285,262,"The Real Slim Shady","Curtain Call",21281
220621,"Eminem",12,251,262,"Mockingbird","Curtain Call",21281
220624,"Eminem",15,249,262,"Just Lose It","Curtain Call",21281
220629,"Portishead",2,241,8819,"All Mine","Portishead",21283
220967,"Eminem",3,291,262,"The Way I Am","Curtain Call",21310
220970,"Eminem",6,326,262,"Lose Yourself","Curtain Call",21310
227594,"Michael Learns To Rock",3,241,8291,"Take Me To Your Heart","Michael Learns To Rock",22023
228303,"Dire Straits",1,861,1486,"Telegraph Road","Love Over Gold",22079
228304,"Dire Straits",2,406,1486,"Private Investigations","Love Over Gold",22079
228852,"The Moody Blues",1,339,161680,"Question","This Is The Moody Blues",22124
228857,"The Moody Blues",6,396,161680,"Legend Of A Mind","This Is The Moody Blues",22124
228858,"The Moody Blues",7,125,161680,"In The Beginning","This Is The Moody Blues",22124
228859,"The Moody Blues",8,155,161680,"Lovely To See You","This Is The Moody Blues",22124
228862,"The Moody Blues",11,51,161680,"The Dream","This Is The Moody Blues",22124
228866,"The Moody Blues",201,213,161680,"Ride My See-Saw","This Is The Moody Blues",22124
228876,"The Moody Blues / The London Festival Orchestra / Peter Knight",211,273,2070050,"Nights In White Satin","This Is The Moody Blues",22124
229311,"Green Day",7,286,610,"Wake Me Up When September Ends","American Idiot",2034
233858,"Bobby McFerrin",1,288,6164,"Don't Worry Be Happy","Simple Pleasures",22598
233912,"Joe Cocker",1,304,7361,"Unchain My Heart","Unchain My Heart",22603
237236,"Joe Cocker",2,256,7361,"You Can Leave Your Hat On","The Best Of Joe Cocker",22787
238687,"Paula Abdul",3,296,16272,"Rush, Rush","Spellbound",22923
242139,"Cutting Crew",8,242,16263,"I've Been In Love Before (Single Version)","The Best Of Cutting Crew",23228
244861,"Steppenwolf",1,209,1370,"Born To Be Wild","Born To Be Wild (Best Of....)",23406
247169,"Donna Summer",1,315,1366,"Hot Stuff","Bad Girls",23686
247196,"Donna Summer",1,1009,1366,"Love To Love You Baby","Love To Love You Baby",23688
249302,"Anthrax",6,341,13157,"Indians","Among The Living",23862
249605,"Manowar",8,412,4329,"Battle Hymn","Battle Hymns",23887
254850,"Billy Idol",2,360,16926,"Dancing With Myself","Vital Idol",24227
264289,"The Killers",1,227,616,"Mr. Brightside","Mr Brightside",24883
264527,"Michael Bublé",6,222,908,"You'll Never Find Another Love Like Mine (with Laura Pausini) [Live]","Caught In The Act",24927
265625,"Jon Bon Jovi",2,319,1126,"Miracle","Blaze Of Glory",25070
265626,"Bon Jovi",3,335,289,"Blaze Of Glory","Blaze Of Glory",25070
265629,"Jon Bon Jovi",6,409,1126,"Justice In The Barrel","Blaze Of Glory",25070
265632,"Jon Bon Jovi",9,284,1126,"Bang A Drum","Blaze Of Glory",25070
265809,"Scorpions",4,313,1398,"Wind Of Change","Crazy World",25082
265816,"Scorpions",11,273,1398,"Send Me An Angel","Crazy World",25082
266178,"Zucchero",1,350,154806,"Diamante","Zucchero",25111
266931,"Afroman",11,310,17514,"Because I Got High","The Good Times",25157
267572,"Diana Davila",7,120,17555,"I Am Not Interested In Love","Two Gentlemen Of Verona",25200
269259,"Litzy",1,211,17627,"Camuflage","Transparente",25334
270714,"Kishore Kumar",7,207,17717,"Dil Aaj Shair Hai","The Best of Bollywood",25447
270715,"Lata Mangeshkar",8,355,17715,"Wada Na Tod","The Best of Bollywood",25447
271059,"Kiss",17,269,298,"I Was Made For Lovin' You","The Very Best Of Kiss",25471
271407,"Rush",6,296,1364,"The Spirit Of Radio","Spirit Of Radio: Greatest Hits (1974-1987)",25494
271711,"Saliva",13,252,817,"Click Click Boom","Back Into Your System",25512
272458,"Nat King Cole",12,183,10474,"(I Love You) For Sentimental Reasons (2000 - Remastered)","The Unforgettable Nat King Cole",25571
273765,"Heart",10,305,15934,"All I Wanna Do Is Make Love To You (2000 Digital Remaster)","Greatest Hits 1985-1995",25650
275958,"Blur",2,122,509,"Song 2","Blur: The Best Of",25773
279679,"The Wurzels",5,215,18013,"Farmer Bill's Cowman (Rewrite Of I Was Kaiser Bill's Batman)","The Finest 'Arvest Of The Wurzels (feat. Adge Cutler)",26023
284168,"Daniel Bedingfield",5,257,891,"If You're Not The One","Gotta Get Thru This",26317
